name,score1,score2,moves1,moves2,time1,time2
Gain - Max | VERTICAL - HORIZONTAL,704,688,116,115,1,0
Avg - Gain | HORIZONTAL - VERTICAL,989,940,198,197,1,2
Avg - Gain | VERTICAL - HORIZONTAL,976,929,194,193,1,0
Gain - Avg | HORIZONTAL - VERTICAL,891,959,189,188,1,0
Gain - Avg | VERTICAL - HORIZONTAL,718,719,124,123,1,0
Avg - Max | HORIZONTAL - VERTICAL,969,963,197,196,1,0
Avg - Max | VERTICAL - HORIZONTAL,968,947,193,192,1,0
Max - Avg | HORIZONTAL - VERTICAL,946,958,189,188,0,0
Max - Avg | VERTICAL - HORIZONTAL,936,935,178,177,0,1
Max - Gain | HORIZONTAL - VERTICAL,1031,1012,197,196,1,0
Max - Gain | VERTICAL - HORIZONTAL,1019,1026,197,196,0,3
Gain - Max | HORIZONTAL - VERTICAL,998,1017,190,189,2,0
Gain - Max | VERTICAL - HORIZONTAL,1006,1009,192,191,1,0
Avg - Gain | HORIZONTAL - VERTICAL,986,948,186,185,1,0
Avg - Gain | VERTICAL - HORIZONTAL,1043,994,198,197,1,0
Gain - Avg | HORIZONTAL - VERTICAL,963,974,186,185,2,0
Gain - Avg | VERTICAL - HORIZONTAL,875,895,163,162,1,0
Avg - Max | HORIZONTAL - VERTICAL,1026,1001,191,190,0,0
Avg - Max | VERTICAL - HORIZONTAL,1007,1005,187,186,0,2
Max - Avg | HORIZONTAL - VERTICAL,1025,1028,200,199,0,0
Max - Avg | VERTICAL - HORIZONTAL,1023,1030,200,199,0,1
Max - Gain | HORIZONTAL - VERTICAL,972,962,178,177,0,2
Max - Gain | VERTICAL - HORIZONTAL,1036,1004,200,199,1,1
Gain - Max | HORIZONTAL - VERTICAL,1009,1026,198,197,1,0
Gain - Max | VERTICAL - HORIZONTAL,587,577,88,87,0,0
Avg - Gain | HORIZONTAL - VERTICAL,1012,964,189,188,0,2
Avg - Gain | VERTICAL - HORIZONTAL,1006,989,193,192,0,3
Gain - Avg | HORIZONTAL - VERTICAL,993,1047,200,199,1,0
Gain - Avg | VERTICAL - HORIZONTAL,666,674,106,105,0,0
Avg - Max | HORIZONTAL - VERTICAL,1019,1010,197,196,0,0
Avg - Max | VERTICAL - HORIZONTAL,1023,1017,200,199,0,0
Max - Avg | HORIZONTAL - VERTICAL,955,953,163,162,1,0
