name,score1,score2,moves1,moves2,time1,time2
Gain - Avg | HORIZONTAL - VERTICAL,953,979,193,192,2,0
Gain - Avg | VERTICAL - HORIZONTAL,912,937,178,177,0,1
Avg - Max | HORIZONTAL - VERTICAL,986,977,194,193,0,0
Avg - Max | VERTICAL - HORIZONTAL,984,970,192,191,0,0
Max - Avg | HORIZONTAL - VERTICAL,993,988,200,199,0,2
Max - Avg | VERTICAL - HORIZONTAL,959,954,181,180,0,1
Max - Gain | HORIZONTAL - VERTICAL,1025,1013,198,197,0,2
Max - Gain | VERTICAL - HORIZONTAL,1037,1007,200,199,0,3
Gain - Max | HORIZONTAL - VERTICAL,1016,1012,195,194,1,0
Gain - Max | VERTICAL - HORIZONTAL,1022,1012,197,196,1,0
Avg - Gain | HORIZONTAL - VERTICAL,914,884,166,165,0,1
Avg - Gain | VERTICAL - HORIZONTAL,1020,979,194,193,0,1
Gain - Avg | HORIZONTAL - VERTICAL,970,1014,188,187,0,0
Gain - Avg | VERTICAL - HORIZONTAL,976,1014,194,193,1,1
Avg - Max | HORIZONTAL - VERTICAL,1002,979,180,179,1,1
Avg - Max | VERTICAL - HORIZONTAL,1029,1015,200,199,0,0
Max - Avg | HORIZONTAL - VERTICAL,1017,1027,200,199,1,0
Max - Avg | VERTICAL - HORIZONTAL,1023,1021,200,199,0,0
Max - Gain | HORIZONTAL - VERTICAL,1008,959,198,197,2,0
Max - Gain | VERTICAL - HORIZONTAL,977,979,196,195,0,1
Gain - Max | HORIZONTAL - VERTICAL,790,770,137,136,1,0
Gain - Max | VERTICAL - HORIZONTAL,972,986,196,195,0,1
Avg - Gain | HORIZONTAL - VERTICAL,999,938,195,194,1,1
Avg - Gain | VERTICAL - HORIZONTAL,980,934,194,193,0,1
Gain - Avg | HORIZONTAL - VERTICAL,865,866,163,162,1,0
Gain - Avg | VERTICAL - HORIZONTAL,945,992,195,194,1,2
Avg - Max | HORIZONTAL - VERTICAL,996,973,198,197,0,0
Avg - Max | VERTICAL - HORIZONTAL,974,958,188,187,0,1
Max - Avg | HORIZONTAL - VERTICAL,981,994,200,199,1,0
Max - Avg | VERTICAL - HORIZONTAL,980,981,195,194,0,1
Max - Gain | HORIZONTAL - VERTICAL,961,929,193,192,0,1
Max - Gain | VERTICAL - HORIZONTAL,983,940,200,199,0,0
Gain - Max | HORIZONTAL - VERTICAL,727,710,127,126,0,0
Gain - Max | VERTICAL - HORIZONTAL,953,970,200,199,0,2
Avg - Gain | HORIZONTAL - VERTICAL,982,921,197,196,1,0
Avg - Gain | VERTICAL - HORIZONTAL,950,908,190,189,0,1
Gain - Avg | HORIZONTAL - VERTICAL,808,827,157,156,1,1
Gain - Avg | VERTICAL - HORIZONTAL,755,772,142,141,1,1
Avg - Max | HORIZONTAL - VERTICAL,946,941,189,188,2,0
Avg - Max | VERTICAL - HORIZONTAL,907,885,168,167,1,0
Max - Avg | HORIZONTAL - VERTICAL,930,946,185,184,0,1
Max - Avg | VERTICAL - HORIZONTAL,954,961,197,196,0,0
Max - Gain | HORIZONTAL - VERTICAL,989,975,198,197,0,2
Max - Gain | VERTICAL - HORIZONTAL,991,961,196,195,0,3
Gain - Max | HORIZONTAL - VERTICAL,831,814,144,143,1,0
Gain - Max | VERTICAL - HORIZONTAL,981,989,200,199,0,2
Avg - Gain | HORIZONTAL - VERTICAL,1008,962,200,199,1,1
Avg - Gain | VERTICAL - HORIZONTAL,980,929,191,190,0,2
Gain - Avg | HORIZONTAL - VERTICAL,905,927,181,180,2,0
Gain - Avg | VERTICAL - HORIZONTAL,907,909,178,177,1,1
Avg - Max | HORIZONTAL - VERTICAL,982,958,191,190,2,0
Avg - Max | VERTICAL - HORIZONTAL,989,977,198,197,1,0
Max - Avg | HORIZONTAL - VERTICAL,978,988,198,197,1,0
Max - Avg | VERTICAL - HORIZONTAL,980,990,200,199,0,1
Max - Gain | HORIZONTAL - VERTICAL,896,886,170,169,0,1
Max - Gain | VERTICAL - HORIZONTAL,989,969,200,199,0,1
Gain - Max | HORIZONTAL - VERTICAL,934,949,185,184,1,0
Gain - Max | VERTICAL - HORIZONTAL,956,963,191,190,1,1
Avg - Gain | HORIZONTAL - VERTICAL,902,859,170,169,0,2
Avg - Gain | VERTICAL - HORIZONTAL,938,877,181,180,0,2
Gain - Avg | HORIZONTAL - VERTICAL,854,866,167,166,0,0
Gain - Avg | VERTICAL - HORIZONTAL,911,942,182,181,1,0
Avg - Max | HORIZONTAL - VERTICAL,978,965,195,194,1,0
Avg - Max | VERTICAL - HORIZONTAL,984,964,197,196,0,0
Max - Avg | HORIZONTAL - VERTICAL,971,980,197,196,0,1
Max - Avg | VERTICAL - HORIZONTAL,973,985,200,199,0,1
Max - Gain | HORIZONTAL - VERTICAL,908,918,165,164,1,1
Max - Gain | VERTICAL - HORIZONTAL,1008,988,195,194,0,0
Gain - Max | HORIZONTAL - VERTICAL,1003,1014,200,199,2,0
Gain - Max | VERTICAL - HORIZONTAL,1004,1004,197,196,2,0
Avg - Gain | HORIZONTAL - VERTICAL,960,932,180,179,0,1
Avg - Gain | VERTICAL - HORIZONTAL,1008,975,194,193,0,1
Gain - Avg | HORIZONTAL - VERTICAL,836,857,156,155,1,0
Gain - Avg | VERTICAL - HORIZONTAL,929,956,180,179,3,0
Avg - Max | HORIZONTAL - VERTICAL,906,896,152,151,0,0
Avg - Max | VERTICAL - HORIZONTAL,988,983,186,185,0,0
Max - Avg | HORIZONTAL - VERTICAL,1002,1009,198,197,0,1
Max - Avg | VERTICAL - HORIZONTAL,1000,1006,197,196,0,1
Max - Gain | HORIZONTAL - VERTICAL,1048,1028,200,199,0,1
Max - Gain | VERTICAL - HORIZONTAL,1044,1023,198,197,0,1
Gain - Max | HORIZONTAL - VERTICAL,1029,1038,198,197,1,0
Gain - Max | VERTICAL - HORIZONTAL,921,914,162,161,0,1
Avg - Gain | HORIZONTAL - VERTICAL,1010,962,185,184,0,0
Avg - Gain | VERTICAL - HORIZONTAL,1047,1029,200,199,0,3
Gain - Avg | HORIZONTAL - VERTICAL,879,894,157,156,1,0
Gain - Avg | VERTICAL - HORIZONTAL,922,955,169,168,3,0
Avg - Max | HORIZONTAL - VERTICAL,943,931,157,156,0,0
Avg - Max | VERTICAL - HORIZONTAL,1023,1003,186,185,1,1
Max - Avg | HORIZONTAL - VERTICAL,1039,1037,200,199,1,0
Max - Avg | VERTICAL - HORIZONTAL,1027,1035,196,195,0,1
Max - Gain | HORIZONTAL - VERTICAL,1029,1017,193,192,1,1
Max - Gain | VERTICAL - HORIZONTAL,1037,1030,198,197,0,1
Gain - Max | HORIZONTAL - VERTICAL,825,810,137,136,2,0
Gain - Max | VERTICAL - HORIZONTAL,1037,1039,200,199,2,1
Avg - Gain | HORIZONTAL - VERTICAL,1049,1027,200,199,0,2
Avg - Gain | VERTICAL - HORIZONTAL,1067,1009,200,199,0,2
Gain - Avg | HORIZONTAL - VERTICAL,671,674,107,106,2,0
Gain - Avg | VERTICAL - HORIZONTAL,995,1050,196,195,1,0
Avg - Max | HORIZONTAL - VERTICAL,1046,1030,200,199,1,0
Avg - Max | VERTICAL - HORIZONTAL,1044,1032,200,199,0,0
Max - Avg | HORIZONTAL - VERTICAL,1032,1036,197,196,0,1
Max - Avg | VERTICAL - HORIZONTAL,1036,1040,200,199,0,2
Max - Gain | HORIZONTAL - VERTICAL,933,929,190,189,1,0
Max - Gain | VERTICAL - HORIZONTAL,910,896,185,184,0,2
Gain - Max | HORIZONTAL - VERTICAL,553,531,88,87,0,0
Gain - Max | VERTICAL - HORIZONTAL,800,793,152,151,0,1
Avg - Gain | HORIZONTAL - VERTICAL,955,908,196,195,0,1
Avg - Gain | VERTICAL - HORIZONTAL,922,882,187,186,0,1
Gain - Avg | HORIZONTAL - VERTICAL,720,741,139,138,2,0
Gain - Avg | VERTICAL - HORIZONTAL,732,734,134,133,0,1
Avg - Max | HORIZONTAL - VERTICAL,908,896,175,174,1,0
Avg - Max | VERTICAL - HORIZONTAL,922,891,175,174,1,0
Max - Avg | HORIZONTAL - VERTICAL,937,934,192,191,0,1
Max - Avg | VERTICAL - HORIZONTAL,885,894,166,165,0,1
Max - Gain | HORIZONTAL - VERTICAL,1026,991,198,197,0,2
Max - Gain | VERTICAL - HORIZONTAL,920,910,166,165,0,2
Gain - Max | HORIZONTAL - VERTICAL,978,983,188,187,2,0
Gain - Max | VERTICAL - HORIZONTAL,802,791,140,139,0,1
Avg - Gain | HORIZONTAL - VERTICAL,1020,971,193,192,0,2
Avg - Gain | VERTICAL - HORIZONTAL,846,838,156,155,0,2
Gain - Avg | HORIZONTAL - VERTICAL,991,1023,198,197,1,0
Gain - Avg | VERTICAL - HORIZONTAL,916,957,178,177,0,0
Avg - Max | HORIZONTAL - VERTICAL,986,972,182,181,1,0
Avg - Max | VERTICAL - HORIZONTAL,991,983,185,184,0,1
Max - Avg | HORIZONTAL - VERTICAL,1010,1017,200,199,0,0
Max - Avg | VERTICAL - HORIZONTAL,1009,1007,197,196,0,1
Max - Gain | HORIZONTAL - VERTICAL,906,900,171,170,0,0
Max - Gain | VERTICAL - HORIZONTAL,994,980,198,197,0,2
Gain - Max | HORIZONTAL - VERTICAL,812,801,144,143,1,0
Gain - Max | VERTICAL - HORIZONTAL,634,618,105,104,0,0
Avg - Gain | HORIZONTAL - VERTICAL,951,929,186,185,1,1
Avg - Gain | VERTICAL - HORIZONTAL,971,936,189,188,1,2
Gain - Avg | HORIZONTAL - VERTICAL,697,697,121,120,1,0
Gain - Avg | VERTICAL - HORIZONTAL,736,740,131,130,0,1
Avg - Max | HORIZONTAL - VERTICAL,961,942,178,177,0,0
Avg - Max | VERTICAL - HORIZONTAL,994,974,196,195,1,0
Max - Avg | HORIZONTAL - VERTICAL,918,913,163,162,0,0
Max - Avg | VERTICAL - HORIZONTAL,988,994,200,199,0,0
Max - Gain | HORIZONTAL - VERTICAL,1010,979,200,199,1,1
Max - Gain | VERTICAL - HORIZONTAL,993,977,195,194,0,2
Gain - Max | HORIZONTAL - VERTICAL,808,791,134,133,2,0
Gain - Max | VERTICAL - HORIZONTAL,743,724,124,123,1,0
Avg - Gain | HORIZONTAL - VERTICAL,1030,959,200,199,1,0
Avg - Gain | VERTICAL - HORIZONTAL,947,902,179,178,0,1
Gain - Avg | HORIZONTAL - VERTICAL,965,995,193,192,1,0
Gain - Avg | VERTICAL - HORIZONTAL,758,770,126,125,0,0
Avg - Max | HORIZONTAL - VERTICAL,1002,987,200,199,0,0
Avg - Max | VERTICAL - HORIZONTAL,983,970,189,188,0,1
Max - Avg | HORIZONTAL - VERTICAL,926,938,167,166,0,0
Max - Avg | VERTICAL - HORIZONTAL,998,991,200,199,0,1
Max - Gain | HORIZONTAL - VERTICAL,1009,1005,196,195,1,1
Max - Gain | VERTICAL - HORIZONTAL,1026,1005,200,199,0,1
Gain - Max | HORIZONTAL - VERTICAL,1016,1015,200,199,0,0
Gain - Max | VERTICAL - HORIZONTAL,408,405,60,59,1,0
Avg - Gain | HORIZONTAL - VERTICAL,982,945,187,186,1,0
Avg - Gain | VERTICAL - HORIZONTAL,998,961,189,188,0,3
Gain - Avg | HORIZONTAL - VERTICAL,661,674,114,113,1,0
Gain - Avg | VERTICAL - HORIZONTAL,809,835,148,147,1,1
Avg - Max | HORIZONTAL - VERTICAL,999,984,185,184,0,0
Avg - Max | VERTICAL - HORIZONTAL,1011,990,191,190,0,0
Max - Avg | HORIZONTAL - VERTICAL,999,995,190,189,1,0
Max - Avg | VERTICAL - HORIZONTAL,991,996,187,186,0,0
Max - Gain | HORIZONTAL - VERTICAL,957,943,184,183,1,0
Max - Gain | VERTICAL - HORIZONTAL,1003,977,200,199,0,1
Gain - Max | HORIZONTAL - VERTICAL,521,515,79,78,1,0
Gain - Max | VERTICAL - HORIZONTAL,893,884,168,167,2,0
Avg - Gain | HORIZONTAL - VERTICAL,928,902,177,176,1,0
Avg - Gain | VERTICAL - HORIZONTAL,1003,947,195,194,0,0
Gain - Avg | HORIZONTAL - VERTICAL,626,634,102,101,0,0
Gain - Avg | VERTICAL - HORIZONTAL,828,841,154,153,1,0
Avg - Max | HORIZONTAL - VERTICAL,987,973,194,193,1,0
Avg - Max | VERTICAL - HORIZONTAL,996,984,200,199,2,0
Max - Avg | HORIZONTAL - VERTICAL,980,996,198,197,0,1
Max - Avg | VERTICAL - HORIZONTAL,982,987,197,196,0,1
Max - Gain | HORIZONTAL - VERTICAL,923,917,180,179,0,1
Max - Gain | VERTICAL - HORIZONTAL,980,956,197,196,0,1
Gain - Max | HORIZONTAL - VERTICAL,908,902,174,173,3,0
Gain - Max | VERTICAL - HORIZONTAL,960,978,197,196,0,1
Avg - Gain | HORIZONTAL - VERTICAL,822,801,150,149,0,0
Avg - Gain | VERTICAL - HORIZONTAL,968,917,190,189,0,2
Gain - Avg | HORIZONTAL - VERTICAL,846,873,167,166,1,0
Gain - Avg | VERTICAL - HORIZONTAL,808,823,151,150,1,0
Avg - Max | HORIZONTAL - VERTICAL,821,810,134,133,1,0
Avg - Max | VERTICAL - HORIZONTAL,967,955,193,192,0,1
Max - Avg | HORIZONTAL - VERTICAL,957,963,193,192,0,0
Max - Avg | VERTICAL - HORIZONTAL,944,944,183,182,0,0
Max - Gain | HORIZONTAL - VERTICAL,991,978,200,199,1,2
Max - Gain | VERTICAL - HORIZONTAL,989,980,200,199,0,0
Gain - Max | HORIZONTAL - VERTICAL,982,981,198,197,2,0
Gain - Max | VERTICAL - HORIZONTAL,828,810,146,145,0,1
Avg - Gain | HORIZONTAL - VERTICAL,883,835,162,161,1,0
Avg - Gain | VERTICAL - HORIZONTAL,1003,966,200,199,0,1
Gain - Avg | HORIZONTAL - VERTICAL,950,977,194,193,2,0
Gain - Avg | VERTICAL - HORIZONTAL,924,979,188,187,1,1
Avg - Max | HORIZONTAL - VERTICAL,991,978,200,199,0,0
Avg - Max | VERTICAL - HORIZONTAL,1000,969,200,199,0,0
Max - Avg | HORIZONTAL - VERTICAL,975,994,200,199,1,1
Max - Avg | VERTICAL - HORIZONTAL,926,928,169,168,0,0
Max - Gain | HORIZONTAL - VERTICAL,1041,1026,200,199,0,2
Max - Gain | VERTICAL - HORIZONTAL,1042,1025,200,199,0,1
Gain - Max | HORIZONTAL - VERTICAL,874,867,150,149,2,0
Gain - Max | VERTICAL - HORIZONTAL,948,941,172,171,0,1
Avg - Gain | HORIZONTAL - VERTICAL,1009,984,190,189,1,0
Avg - Gain | VERTICAL - HORIZONTAL,1037,994,194,193,1,0
Gain - Avg | HORIZONTAL - VERTICAL,883,896,161,160,1,0
Gain - Avg | VERTICAL - HORIZONTAL,909,919,166,165,0,2
Avg - Max | HORIZONTAL - VERTICAL,1046,1021,200,199,1,0
Avg - Max | VERTICAL - HORIZONTAL,1042,1025,200,199,0,1
Max - Avg | HORIZONTAL - VERTICAL,982,993,177,176,2,0
Max - Avg | VERTICAL - HORIZONTAL,1030,1037,200,199,0,0
Max - Gain | HORIZONTAL - VERTICAL,1017,1008,200,199,0,1
Max - Gain | VERTICAL - HORIZONTAL,1015,1010,200,199,0,3
Gain - Max | HORIZONTAL - VERTICAL,943,942,173,172,0,0
Gain - Max | VERTICAL - HORIZONTAL,1002,1006,195,194,0,0
Avg - Gain | HORIZONTAL - VERTICAL,1010,981,195,194,1,1
Avg - Gain | VERTICAL - HORIZONTAL,993,956,190,189,0,1
Gain - Avg | HORIZONTAL - VERTICAL,846,862,157,156,1,1
Gain - Avg | VERTICAL - HORIZONTAL,973,1020,196,195,1,0
Avg - Max | HORIZONTAL - VERTICAL,986,980,182,181,1,0
Avg - Max | VERTICAL - HORIZONTAL,1024,1001,200,199,1,0
Max - Avg | HORIZONTAL - VERTICAL,979,992,183,182,1,0
Max - Avg | VERTICAL - HORIZONTAL,1008,1011,198,197,0,0
Max - Gain | HORIZONTAL - VERTICAL,985,961,200,199,0,1
Max - Gain | VERTICAL - HORIZONTAL,972,967,198,197,0,2
Gain - Max | HORIZONTAL - VERTICAL,971,968,198,197,2,0
Gain - Max | VERTICAL - HORIZONTAL,843,842,159,158,1,0
Avg - Gain | HORIZONTAL - VERTICAL,840,815,159,158,1,1
Avg - Gain | VERTICAL - HORIZONTAL,963,929,192,191,0,1
Gain - Avg | HORIZONTAL - VERTICAL,924,934,189,188,1,0
Gain - Avg | VERTICAL - HORIZONTAL,921,961,191,190,1,1
Avg - Max | HORIZONTAL - VERTICAL,893,877,158,157,1,0
Avg - Max | VERTICAL - HORIZONTAL,978,968,200,199,0,1
Max - Avg | HORIZONTAL - VERTICAL,959,981,198,197,1,0
Max - Avg | VERTICAL - HORIZONTAL,972,974,200,199,0,2
Max - Gain | HORIZONTAL - VERTICAL,959,954,179,178,2,0
Max - Gain | VERTICAL - HORIZONTAL,977,955,185,184,1,2
Gain - Max | HORIZONTAL - VERTICAL,729,713,123,122,0,0
Gain - Max | VERTICAL - HORIZONTAL,995,1002,200,199,0,0
Avg - Gain | HORIZONTAL - VERTICAL,1021,976,200,199,0,1
Avg - Gain | VERTICAL - HORIZONTAL,991,949,192,191,0,2
Gain - Avg | HORIZONTAL - VERTICAL,707,714,115,114,2,0
Gain - Avg | VERTICAL - HORIZONTAL,713,719,121,120,1,0
Avg - Max | HORIZONTAL - VERTICAL,1004,985,197,196,0,1
Avg - Max | VERTICAL - HORIZONTAL,974,967,181,180,0,1
Max - Avg | HORIZONTAL - VERTICAL,995,990,195,194,0,0
Max - Avg | VERTICAL - HORIZONTAL,987,1006,198,197,0,1
Max - Gain | HORIZONTAL - VERTICAL,1030,995,200,199,2,1
Max - Gain | VERTICAL - HORIZONTAL,1016,1009,200,199,0,1
Gain - Max | HORIZONTAL - VERTICAL,849,837,148,147,1,0
Gain - Max | VERTICAL - HORIZONTAL,585,576,88,87,1,0
Avg - Gain | HORIZONTAL - VERTICAL,1033,974,196,195,0,0
Avg - Gain | VERTICAL - HORIZONTAL,1023,972,196,195,0,1
Gain - Avg | HORIZONTAL - VERTICAL,625,623,101,100,0,0
Gain - Avg | VERTICAL - HORIZONTAL,737,732,123,122,1,1
Avg - Max | HORIZONTAL - VERTICAL,999,984,187,186,1,0
Avg - Max | VERTICAL - HORIZONTAL,969,962,175,174,0,0
Max - Avg | HORIZONTAL - VERTICAL,1006,1011,198,197,1,0
Max - Avg | VERTICAL - HORIZONTAL,998,1010,194,193,0,0
Max - Gain | HORIZONTAL - VERTICAL,968,944,198,197,0,2
Max - Gain | VERTICAL - HORIZONTAL,954,943,194,193,0,0
Gain - Max | HORIZONTAL - VERTICAL,701,688,118,117,2,0
Gain - Max | VERTICAL - HORIZONTAL,904,915,182,181,1,0
Avg - Gain | HORIZONTAL - VERTICAL,919,891,184,183,1,0
Avg - Gain | VERTICAL - HORIZONTAL,924,886,183,182,0,3
Gain - Avg | HORIZONTAL - VERTICAL,755,768,144,143,0,0
Gain - Avg | VERTICAL - HORIZONTAL,840,860,164,163,0,0
Avg - Max | HORIZONTAL - VERTICAL,934,909,179,178,1,0
Avg - Max | VERTICAL - HORIZONTAL,932,917,179,178,0,0
Max - Avg | HORIZONTAL - VERTICAL,962,956,200,199,1,0
Max - Avg | VERTICAL - HORIZONTAL,937,943,189,188,0,0
Max - Gain | HORIZONTAL - VERTICAL,925,926,191,190,0,2
Max - Gain | VERTICAL - HORIZONTAL,942,927,198,197,0,1
Gain - Max | HORIZONTAL - VERTICAL,862,859,170,169,1,0
Gain - Max | VERTICAL - HORIZONTAL,872,871,173,172,1,0
Avg - Gain | HORIZONTAL - VERTICAL,962,910,198,197,0,1
Avg - Gain | VERTICAL - HORIZONTAL,960,903,198,197,0,0
Gain - Avg | HORIZONTAL - VERTICAL,759,782,147,146,1,1
Gain - Avg | VERTICAL - HORIZONTAL,672,685,121,120,1,1
Avg - Max | HORIZONTAL - VERTICAL,920,910,185,184,0,0
Avg - Max | VERTICAL - HORIZONTAL,941,919,195,194,0,0
Max - Avg | HORIZONTAL - VERTICAL,869,879,165,164,1,0
Max - Avg | VERTICAL - HORIZONTAL,920,933,194,193,0,0
Max - Gain | HORIZONTAL - VERTICAL,991,974,186,185,0,1
Max - Gain | VERTICAL - HORIZONTAL,1026,1016,200,199,0,2
Gain - Max | HORIZONTAL - VERTICAL,720,707,112,111,0,0
Gain - Max | VERTICAL - HORIZONTAL,1015,992,192,191,0,1
Avg - Gain | HORIZONTAL - VERTICAL,963,919,175,174,1,2
Avg - Gain | VERTICAL - HORIZONTAL,1041,988,198,197,0,0
Gain - Avg | HORIZONTAL - VERTICAL,725,742,121,120,0,0
Gain - Avg | VERTICAL - HORIZONTAL,888,913,167,166,1,0
Avg - Max | HORIZONTAL - VERTICAL,990,976,179,178,0,0
Avg - Max | VERTICAL - HORIZONTAL,1030,1012,200,199,0,0
Max - Avg | HORIZONTAL - VERTICAL,996,1007,189,188,0,0
Max - Avg | VERTICAL - HORIZONTAL,1019,1023,200,199,0,0
Max - Gain | HORIZONTAL - VERTICAL,970,964,180,179,0,1
Max - Gain | VERTICAL - HORIZONTAL,1014,982,195,194,0,0
Gain - Max | HORIZONTAL - VERTICAL,996,1012,198,197,0,1
Gain - Max | VERTICAL - HORIZONTAL,973,965,182,181,0,0
Avg - Gain | HORIZONTAL - VERTICAL,1028,975,198,197,1,2
Avg - Gain | VERTICAL - HORIZONTAL,976,935,185,184,2,1
Gain - Avg | HORIZONTAL - VERTICAL,988,1030,200,199,2,1
Gain - Avg | VERTICAL - HORIZONTAL,772,765,134,133,0,1
Avg - Max | HORIZONTAL - VERTICAL,972,965,175,174,2,0
Avg - Max | VERTICAL - HORIZONTAL,969,957,174,173,1,1
Max - Avg | HORIZONTAL - VERTICAL,994,989,189,188,0,0
Max - Avg | VERTICAL - HORIZONTAL,999,1011,198,197,0,0
Max - Gain | HORIZONTAL - VERTICAL,980,971,194,193,0,2
Max - Gain | VERTICAL - HORIZONTAL,947,935,183,182,0,1
Gain - Max | HORIZONTAL - VERTICAL,986,983,198,197,0,0
Gain - Max | VERTICAL - HORIZONTAL,894,887,168,167,1,0
Avg - Gain | HORIZONTAL - VERTICAL,976,947,190,189,1,0
Avg - Gain | VERTICAL - HORIZONTAL,982,941,191,190,0,2
Gain - Avg | HORIZONTAL - VERTICAL,855,893,168,167,2,0
Gain - Avg | VERTICAL - HORIZONTAL,735,740,129,128,1,0
Avg - Max | HORIZONTAL - VERTICAL,988,973,193,192,2,0
Avg - Max | VERTICAL - HORIZONTAL,971,955,184,183,0,1
Max - Avg | HORIZONTAL - VERTICAL,981,992,198,197,0,0
Max - Avg | VERTICAL - HORIZONTAL,984,997,200,199,0,1
Max - Gain | HORIZONTAL - VERTICAL,987,983,200,199,1,2
Max - Gain | VERTICAL - HORIZONTAL,1000,970,200,199,0,2
Gain - Max | HORIZONTAL - VERTICAL,922,915,178,177,0,0
Gain - Max | VERTICAL - HORIZONTAL,978,992,200,199,1,0
Avg - Gain | HORIZONTAL - VERTICAL,1008,962,200,199,1,0
Avg - Gain | VERTICAL - HORIZONTAL,987,949,194,193,0,2
Gain - Avg | HORIZONTAL - VERTICAL,879,916,176,175,0,1
Gain - Avg | VERTICAL - HORIZONTAL,949,998,197,196,3,0
Avg - Max | HORIZONTAL - VERTICAL,978,967,193,192,1,0
Avg - Max | VERTICAL - HORIZONTAL,972,950,185,184,0,0
Max - Avg | HORIZONTAL - VERTICAL,975,981,196,195,1,0
Max - Avg | VERTICAL - HORIZONTAL,980,982,198,197,0,0
Max - Gain | HORIZONTAL - VERTICAL,981,968,191,190,1,1
Max - Gain | VERTICAL - HORIZONTAL,993,984,193,192,0,2
Gain - Max | HORIZONTAL - VERTICAL,788,769,130,129,1,0
Gain - Max | VERTICAL - HORIZONTAL,978,981,192,191,2,0
Avg - Gain | HORIZONTAL - VERTICAL,1000,971,195,194,1,0
Avg - Gain | VERTICAL - HORIZONTAL,995,947,190,189,0,2
Gain - Avg | HORIZONTAL - VERTICAL,918,953,184,183,2,0
Gain - Avg | VERTICAL - HORIZONTAL,583,586,95,94,0,1
Avg - Max | HORIZONTAL - VERTICAL,1000,980,194,193,0,0
Avg - Max | VERTICAL - HORIZONTAL,1006,987,198,197,0,0
Max - Avg | HORIZONTAL - VERTICAL,999,1000,200,199,0,0
Max - Avg | VERTICAL - HORIZONTAL,979,987,189,188,0,1
Max - Gain | HORIZONTAL - VERTICAL,960,940,191,190,2,1
Max - Gain | VERTICAL - HORIZONTAL,977,966,200,199,0,1
Gain - Max | HORIZONTAL - VERTICAL,926,935,184,183,1,0
Gain - Max | VERTICAL - HORIZONTAL,966,977,200,199,1,0
Avg - Gain | HORIZONTAL - VERTICAL,989,954,200,199,2,1
Avg - Gain | VERTICAL - HORIZONTAL,892,869,171,170,0,3
Gain - Avg | HORIZONTAL - VERTICAL,913,930,184,183,1,0
Gain - Avg | VERTICAL - HORIZONTAL,836,854,163,162,0,2
Avg - Max | HORIZONTAL - VERTICAL,958,944,188,187,1,0
Avg - Max | VERTICAL - HORIZONTAL,957,967,194,193,0,1
Max - Avg | HORIZONTAL - VERTICAL,931,931,178,177,1,0
Max - Avg | VERTICAL - HORIZONTAL,970,973,200,199,0,2
Max - Gain | HORIZONTAL - VERTICAL,982,964,197,196,0,0
Max - Gain | VERTICAL - HORIZONTAL,787,800,139,138,0,1
Gain - Max | HORIZONTAL - VERTICAL,955,964,191,190,2,0
Gain - Max | VERTICAL - HORIZONTAL,782,777,137,136,0,1
Avg - Gain | HORIZONTAL - VERTICAL,945,909,183,182,0,0
Avg - Gain | VERTICAL - HORIZONTAL,942,893,181,180,1,1
Gain - Avg | HORIZONTAL - VERTICAL,937,970,193,192,3,0
Gain - Avg | VERTICAL - HORIZONTAL,568,551,88,87,1,0
Avg - Max | HORIZONTAL - VERTICAL,929,917,168,167,0,0
Avg - Max | VERTICAL - HORIZONTAL,973,960,193,192,0,0
Max - Avg | HORIZONTAL - VERTICAL,967,974,195,194,1,1
Max - Avg | VERTICAL - HORIZONTAL,962,947,184,183,0,2
Max - Gain | HORIZONTAL - VERTICAL,903,889,175,174,0,2
Max - Gain | VERTICAL - HORIZONTAL,985,970,200,199,0,1
Gain - Max | HORIZONTAL - VERTICAL,851,845,159,158,1,0
Gain - Max | VERTICAL - HORIZONTAL,946,958,188,187,1,1
Avg - Gain | HORIZONTAL - VERTICAL,924,887,178,177,2,1
Avg - Gain | VERTICAL - HORIZONTAL,994,961,200,199,0,2
Gain - Avg | HORIZONTAL - VERTICAL,942,985,196,195,2,0
Gain - Avg | VERTICAL - HORIZONTAL,856,900,174,173,0,1
Avg - Max | HORIZONTAL - VERTICAL,900,891,157,156,0,0
Avg - Max | VERTICAL - HORIZONTAL,978,961,195,194,0,1
Max - Avg | HORIZONTAL - VERTICAL,966,965,192,191,1,0
Max - Avg | VERTICAL - HORIZONTAL,978,977,200,199,0,2
Max - Gain | HORIZONTAL - VERTICAL,1023,988,198,197,1,1
Max - Gain | VERTICAL - HORIZONTAL,1019,1004,200,199,0,1
Gain - Max | HORIZONTAL - VERTICAL,919,910,165,164,0,0
Gain - Max | VERTICAL - HORIZONTAL,927,913,169,168,0,0
Avg - Gain | HORIZONTAL - VERTICAL,1034,977,198,197,0,1
Avg - Gain | VERTICAL - HORIZONTAL,1000,950,189,188,0,2
Gain - Avg | HORIZONTAL - VERTICAL,797,800,142,141,1,0
Gain - Avg | VERTICAL - HORIZONTAL,833,849,150,149,2,0
Avg - Max | HORIZONTAL - VERTICAL,978,962,177,176,2,0
Avg - Max | VERTICAL - HORIZONTAL,1010,989,194,193,0,0
Max - Avg | HORIZONTAL - VERTICAL,985,1002,190,189,0,0
Max - Avg | VERTICAL - HORIZONTAL,1003,1020,200,199,0,1
Max - Gain | HORIZONTAL - VERTICAL,1014,1009,195,194,0,1
